fragment,counter
[*]C(=O)[C@@H]1C[C@@H]2C3:C:C:C:C4:[NH]:C:C(:C:3:4)C[C@H]2N([*])C1,1
[*]CCCN([*])[*],5
[*]C(=O)N([*])[*],13
[*]CCC[*],108
[*]N1:C:C(I):C(=O):[NH]:C:1=O,5
NC1:C:C:C(S(=O)(=O)C2:C:C:C(N):C:C:2):C:C:1,2
[*]CN1:C:N:C:N:1,10
[*]C1:C:C:C(Cl):C:C:1Cl,45
[*]C[C@H]1CO[C@@]([*])(C[*])O1,3
[*]C[C@H]1COC([*])([*])O1,3
[*]OC[C@H]1CO[C@@]([*])(C[*])O1,3
[*]OC[C@H]1COC([*])([*])O1,3
[*]C1([*])NC(=O)NC1=O,1
[*]C(C)=O,78
[*][C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,1
[*][C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)C4:C(O):C:C:C:C:4[C@H](C)[C@H]3[C@H](O)[C@@H]12,2
[*]C([*])CC,5
[*]NCN[*],4
[*]CCCC[C@H](N)C(=O)O,10
[*]C(=O)C1=C(O)[C@@H]([*])[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C1=O)C(=O)C1:C(O):C:C:C:C:1[C@@]3(C)O,4
[*]C1:C:C:C:C:C:1Cl,50
[*]C([*])([*])C1:C:C:C:C:C:1,2
[*]C([*])([*])C1:C:C:C:C:C:1Cl,1
[*]C([*])([*])N1:C:C:N:C:1,2
[Ca+2],4
NC1:C:C:C(S(N)(=O)=O):C:C:1,1
N[C@@H]1CONC1=O,1
O=C1CN2CC3:C(:C:C:C(Cl):C:3Cl)N=C2N1,1
[*]NCCCl,2
[*]C(=O)N(CCCl)N=O,8
[*]NC1:O:N:C(C):C:1C,1
[*]S(=O)(=O)C1:C:C:C(N):C:C:1,31
[*]C1:O:N:C(C):C:1C,2
[*]NS(=O)(=O)C1:C:C:C(N):C:C:1,28
[*]CCOC,6
[*]C(=O)C=CC,1
[*]N([*])CC,27
[*]C1:C:C:C:C:C:1C,21
[*]C1:C(O):C2:C:C:C:C:C:2:O:C:1=O,16
[*]CC1:C(O):C2:C:C:C:C:C:2:O:C:1=O,2
[*]C(=O)/C(=N\OC)C1:C:S:C(N):N:1,12
[*]SC1:N:N:N:N:1C,15
[*]CCC1:C:C:C:C2:C:1CC(=O)N2,2
[*]CCC,56
[*]N([*])CCC,7
[*]N([*])CC[*],5
[*]C1:C:C:C:C2:C:1CC(=O)N2,2
[*]OC(C)C,55
[*]C1:C:C:C:C2:N:O:N:C:1:2,3
[*]C(=O)C1=C(C)NC(C)=C(C(=O)OC)C1[*],17
[*]NC1:C(I):C([*]):C(I):C(N[*]):C:1I,1
[*]CCN,20
[*]C1:C:C:N:[NH]:1,3
[*]OS(N)(=O)=O,13
[*]C[C@@]12OC[C@H]3OC(C)(C)O[C@H]3[C@@H]1OC(C)(C)O2,1
[*]SCC#N,2
[*]CC#N,2
[*]C(=O)CS[*],7
[*]CC1=C(C(=O)O)N2C(=O)[C@](N[*])(OC)[C@H]2SC1,5
[*]C(C)(C)O,17
[*]N1:C([*]):N:C([*]):C:1[*],4
[*]CN1:C([*]):N:C([*]):C:1[*],2
[*]C1:N:N:N:[NH]:1,16
[*]CC1:C:C:C([*]):C:C:1,70
[*]C1:C2:C:C:C:C:C:2:N:C2:C:C:C:C:C:1:2,2
[*]NC1:C2:C:C:C:C:C:2:N:C2:C:C:C:C:C:1:2,2
[*]NC1:C:C:C([*]):C(OC):C:1,6
[*]NC1:C:C:C(N[*]):C(OC):C:1,2
[*]NC1:C:C:C([*]):C:C:1OC,10
[*]C1:C:C:C([*]):C(OC):C:1,18
CN1:C(=O):C2:[NH]:C:N:C:2:N(C):C:1=O,2
[*]NS(=O)(=O)C1:C:C:C:C2:C:1NCC(C)C2,2
[*]C(=O)[C@@H]([*])CCC[*],3
[*]N1CC[C@@H](C)C[C@@H]1[*],2
[*]OC1:C:C:C(O):C(I):C:1,2
[*]C1:C:C:C(O):C(I):C:1,3
[*]C1:C:C(I):C([*]):C(I):C:1,11
[*]OC1:C(I):C:C([*]):C:C:1I,11
[*]N([*])C(C)C,9
[*]C1:C:C:C:C:N:1,66
[*]CCC([*])([*])C(N)=O,3
